Source,Target,Type,weight,book,new_weight
Andrey-Dalt,Myrcella-Baratheon,undirected,4,4,77
Andrey-Dalt,Sylva-Santagar,undirected,8,4,73
Andrey-Dalt,Tyene-Sand,undirected,4,4,77
Anya-Waynwood,Benedar-Belmore,undirected,4,4,77
Anya-Waynwood,Gilwood-Hunter,undirected,6,4,75
Anya-Waynwood,Harrold-Hardyng,undirected,6,4,75
Anya-Waynwood,Horton-Redfort,undirected,7,4,74
Anya-Waynwood,Petyr-Baelish,undirected,10,4,71
Anya-Waynwood,Symond-Templeton,undirected,6,4,75
Anya-Waynwood,Yohn-Royce,undirected,5,4,76
Areo-Hotah,Arianne-Martell,undirected,17,4,64
Areo-Hotah,Arys-Oakheart,undirected,7,4,74
Areo-Hotah,Caleotte,undirected,7,4,74
Areo-Hotah,Doran-Martell,undirected,32,4,49
Areo-Hotah,Myrcella-Baratheon,undirected,5,4,76
Areo-Hotah,Obara-Sand,undirected,7,4,74
Areo-Hotah,Oberyn-Martell,undirected,3,4,78
Arianne-Martell,Arys-Oakheart,undirected,19,4,62
Arianne-Martell,Cedra,undirected,8,4,73
Arianne-Martell,Doran-Martell,undirected,15,4,66
Arianne-Martell,Franklyn-Fowler,undirected,3,4,78
Arianne-Martell,Garin-(orphan),undirected,18,4,63
Arianne-Martell,Gerold-Dayne,undirected,11,4,70
Arianne-Martell,Mellei,undirected,3,4,78
Arianne-Martell,Morra,undirected,3,4,78
Arianne-Martell,Myrcella-Baratheon,undirected,12,4,69
Arianne-Martell,Oberyn-Martell,undirected,3,4,78
Arianne-Martell,Quentyn-Martell,undirected,8,4,73
Arianne-Martell,Ricasso,undirected,3,4,78
Arianne-Martell,Sylva-Santagar,undirected,10,4,71
Arianne-Martell,Timoth,undirected,3,4,78
Arianne-Martell,Tyene-Sand,undirected,4,4,77
Armen,Leo-Tyrell,undirected,3,4,78
Armen,Marwyn,undirected,3,4,78
Armen,Mollander,undirected,3,4,78
Armen,Pate-(novice),undirected,5,4,76
Armen,Roone,undirected,4,4,77
Arya-Stark,Bellegere-Otherys,undirected,3,4,78
Arya-Stark,Brea,undirected,5,4,76
Arya-Stark,Brusco,undirected,6,4,75
Arya-Stark,Dareon,undirected,5,4,76
Arya-Stark,Denyo-Terys,undirected,8,4,73
Arya-Stark,Kindly-Man,undirected,13,4,68
Arya-Stark,Meralyn,undirected,9,4,72
Arya-Stark,Nan,undirected,5,4,76
Arya-Stark,Sandor-Clegane,undirected,3,4,78
Arya-Stark,Sansa-Stark,undirected,4,4,77
Arya-Stark,Syrio-Forel,undirected,4,4,77
Arya-Stark,Talea,undirected,4,4,77
Arya-Stark,Ternesio-Terys,undirected,5,4,76
Arya-Stark,Umma,undirected,6,4,75
Arya-Stark,Waif,undirected,17,4,64
Arya-Stark,Yorko-Terys,undirected,6,4,75
Arys-Oakheart,Doran-Martell,undirected,3,4,78
Arys-Oakheart,Garin-(orphan),undirected,3,4,78
Arys-Oakheart,Gerold-Dayne,undirected,3,4,78
Arys-Oakheart,Myrcella-Baratheon,undirected,18,4,63
Asha-Greyjoy,Balon-Greyjoy,undirected,12,4,69
Asha-Greyjoy,Euron-Greyjoy,undirected,19,4,62
Asha-Greyjoy,Red-Oarsman,undirected,3,4,78
Asha-Greyjoy,Rodrik-Harlaw,undirected,7,4,74
Asha-Greyjoy,Theon-Greyjoy,undirected,6,4,75
Asha-Greyjoy,Tristifer-Botley,undirected,4,4,77
Asha-Greyjoy,Victarion-Greyjoy,undirected,10,4,71
Aurane-Waters,Cersei-Lannister,undirected,9,4,72
Aurane-Waters,Gyles-Rosby,undirected,3,4,78
Aurane-Waters,Harys-Swyft,undirected,5,4,76
Aurane-Waters,Loras-Tyrell,undirected,3,4,78
Aurane-Waters,Margaery-Tyrell,undirected,5,4,76
Aurane-Waters,Orton-Merryweather,undirected,3,4,78
Aurane-Waters,Paxter-Redwyne,undirected,3,4,78
Aurane-Waters,Stannis-Baratheon,undirected,3,4,78
Aurane-Waters,Tommen-Baratheon,undirected,3,4,78
Baelor-Blacktyde,Balon-Greyjoy,undirected,3,4,78
Baelor-Blacktyde,Euron-Greyjoy,undirected,4,4,77
Baelor-Blacktyde,Victarion-Greyjoy,undirected,4,4,77
Baelor-I-Targaryen,Cersei-Lannister,undirected,5,4,76
Balman-Byrch,Bronn,undirected,7,4,74
Balman-Byrch,Cersei-Lannister,undirected,7,4,74
Balman-Byrch,Falyse-Stokeworth,undirected,10,4,71
Balon-Greyjoy,Euron-Greyjoy,undirected,20,4,61
Balon-Greyjoy,Stannis-Baratheon,undirected,4,4,77
Balon-Greyjoy,Victarion-Greyjoy,undirected,13,4,68
Balon-Swann,Gregor-Clegane,undirected,3,4,78
Balon-Swann,Jaime-Lannister,undirected,3,4,78
Balon-Swann,Loras-Tyrell,undirected,4,4,77
Benedar-Belmore,Gilwood-Hunter,undirected,3,4,78
Benedar-Belmore,Horton-Redfort,undirected,5,4,76
Benedar-Belmore,Petyr-Baelish,undirected,5,4,76
Benedar-Belmore,Symond-Templeton,undirected,4,4,77
Beric-Dondarrion,Catelyn-Stark,undirected,3,4,78
Beric-Dondarrion,Jaime-Lannister,undirected,7,4,74
Beric-Dondarrion,Mariya-Darry,undirected,5,4,76
Beric-Dondarrion,Sandor-Clegane,undirected,3,4,78
Beric-Dondarrion,Thoros-of-Myr,undirected,5,4,76
Biter,Brienne-of-Tarth,undirected,5,4,76
Blue-Bard,Cersei-Lannister,undirected,7,4,74
Blue-Bard,Lambert-Turnberry,undirected,3,4,78
Blue-Bard,Margaery-Tyrell,undirected,6,4,75
Blue-Bard,Qyburn,undirected,4,4,77
Blue-Bard,Tallad,undirected,3,4,78
Bonifer-Hasty,Jaime-Lannister,undirected,4,4,77
Boros-Blount,Cersei-Lannister,undirected,3,4,78
Boros-Blount,Jaime-Lannister,undirected,3,4,78
Boros-Blount,Meryn-Trant,undirected,4,4,77
Boros-Blount,Osmund-Kettleblack,undirected,8,4,73
Boros-Blount,Osney-Kettleblack,undirected,3,4,78
Bran-Stark,Jon-Snow,undirected,6,4,75
Bran-Stark,Rickon-Stark,undirected,5,4,76
Bran-Stark,Robb-Stark,undirected,5,4,76
Bran-Stark,Tommen-Baratheon,undirected,3,4,78
Brea,Brusco,undirected,3,4,78
Brea,Talea,undirected,4,4,77
Brella,Sansa-Stark,undirected,4,4,77
Brienne-of-Tarth,Catelyn-Stark,undirected,10,4,71
Brienne-of-Tarth,Clarence-Crabb,undirected,4,4,77
Brienne-of-Tarth,Creighton-Longbough,undirected,8,4,73
Brienne-of-Tarth,Dick-Crabb,undirected,21,4,60
Brienne-of-Tarth,Dontos-Hollard,undirected,7,4,74
Brienne-of-Tarth,Elder-Brother,undirected,4,4,77
Brienne-of-Tarth,Gendry,undirected,6,4,75
Brienne-of-Tarth,Hyle-Hunt,undirected,17,4,64
Brienne-of-Tarth,Illifer,undirected,8,4,73
Brienne-of-Tarth,Jaime-Lannister,undirected,18,4,63
Brienne-of-Tarth,Jeyne-Heddle,undirected,4,4,77
Brienne-of-Tarth,Joffrey-Baratheon,undirected,4,4,77
Brienne-of-Tarth,Lysa-Arryn,undirected,3,4,78
Brienne-of-Tarth,Meribald,undirected,17,4,64
Brienne-of-Tarth,Narbert,undirected,6,4,75
Brienne-of-Tarth,Podrick-Payne,undirected,36,4,45
Brienne-of-Tarth,Pyg,undirected,4,4,77
Brienne-of-Tarth,Randyll-Tarly,undirected,8,4,73
Brienne-of-Tarth,Renly-Baratheon,undirected,9,4,72
Brienne-of-Tarth,Sandor-Clegane,undirected,12,4,69
Brienne-of-Tarth,Sansa-Stark,undirected,19,4,62
Brienne-of-Tarth,Shagwell,undirected,9,4,72
Brienne-of-Tarth,Timeon,undirected,5,4,76
Brienne-of-Tarth,Tommen-Baratheon,undirected,3,4,78
Brienne-of-Tarth,Tyrion-Lannister,undirected,3,4,78
Brienne-of-Tarth,Tywin-Lannister,undirected,3,4,78
Brienne-of-Tarth,Willow-Heddle,undirected,5,4,76
Bronn,Cersei-Lannister,undirected,4,4,77
Bronn,Falyse-Stokeworth,undirected,3,4,78
Bronn,Lollys-Stokeworth,undirected,4,4,77
Bronn,Tyrion-Lannister,undirected,4,4,77
Brynden-Tully,Catelyn-Stark,undirected,3,4,78
Brynden-Tully,Daven-Lannister,undirected,3,4,78
Brynden-Tully,Edmure-Tully,undirected,15,4,66
Brynden-Tully,Edwyn-Frey,undirected,3,4,78
Brynden-Tully,Emmon-Frey,undirected,7,4,74
Brynden-Tully,Jaime-Lannister,undirected,18,4,63
Brynden-Tully,Lyle-Crakehall,undirected,4,4,77
Brynden-Tully,Ryman-Frey,undirected,3,4,78
Caleotte,Doran-Martell,undirected,8,4,73
Caleotte,Obara-Sand,undirected,5,4,76
Catelyn-Stark,Hyle-Hunt,undirected,3,4,78
Catelyn-Stark,Jaime-Lannister,undirected,15,4,66
Catelyn-Stark,Petyr-Baelish,undirected,3,4,78
Catelyn-Stark,Randyll-Tarly,undirected,3,4,78
Catelyn-Stark,Renly-Baratheon,undirected,4,4,77
Catelyn-Stark,Robb-Stark,undirected,4,4,77
Catelyn-Stark,Sansa-Stark,undirected,9,4,72
Catelyn-Stark,Tyrion-Lannister,undirected,3,4,78
Cedra,Garin-(orphan),undirected,5,4,76
Cedric-Payne,Podrick-Payne,undirected,3,4,78
Cersei-Lannister,Dorcas,undirected,18,4,63
Cersei-Lannister,Dunsen,undirected,4,4,77
Cersei-Lannister,Eddard-Stark,undirected,3,4,78
Cersei-Lannister,Falyse-Stokeworth,undirected,14,4,67
Cersei-Lannister,Garlan-Tyrell,undirected,3,4,78
Cersei-Lannister,Garth-Tyrell,undirected,3,4,78
Cersei-Lannister,Gregor-Clegane,undirected,6,4,75
Cersei-Lannister,Gyles-Rosby,undirected,18,4,63
Cersei-Lannister,Harys-Swyft,undirected,4,4,77
Cersei-Lannister,High-Septon-(Tyrions),undirected,3,4,78
Cersei-Lannister,High-Sparrow,undirected,24,4,57
Cersei-Lannister,Ilyn-Payne,undirected,6,4,75
Cersei-Lannister,Jaime-Lannister,undirected,49,4,32
Cersei-Lannister,Jalabhar-Xho,undirected,3,4,78
Cersei-Lannister,Jocelyn-Swyft,undirected,13,4,68
Cersei-Lannister,Joffrey-Baratheon,undirected,21,4,60
Cersei-Lannister,Jon-Snow,undirected,3,4,78
Cersei-Lannister,Kevan-Lannister,undirected,9,4,72
Cersei-Lannister,Lancel-Lannister,undirected,9,4,72
Cersei-Lannister,Loras-Tyrell,undirected,24,4,57
Cersei-Lannister,Mace-Tyrell,undirected,17,4,64
Cersei-Lannister,Maegor-I-Targaryen,undirected,3,4,78
Cersei-Lannister,Maggy,undirected,5,4,76
Cersei-Lannister,Margaery-Tyrell,undirected,67,4,14
Cersei-Lannister,Mark-Mullendore,undirected,3,4,78
Cersei-Lannister,Melara-Hetherspoon,undirected,5,4,76
Cersei-Lannister,Meryn-Trant,undirected,15,4,66
Cersei-Lannister,Moon-Boy,undirected,5,4,76
Cersei-Lannister,Myrcella-Baratheon,undirected,4,4,77
Cersei-Lannister,Olenna-Redwyne,undirected,6,4,75
Cersei-Lannister,Orton-Merryweather,undirected,9,4,72
Cersei-Lannister,Osfryd-Kettleblack,undirected,8,4,73
Cersei-Lannister,Osmund-Kettleblack,undirected,25,4,56
Cersei-Lannister,Osney-Kettleblack,undirected,24,4,57
Cersei-Lannister,Petyr-Baelish,undirected,7,4,74
Cersei-Lannister,Pycelle,undirected,15,4,66
Cersei-Lannister,Qyburn,undirected,27,4,54
Cersei-Lannister,Rafford,undirected,4,4,77
Cersei-Lannister,Raynard,undirected,3,4,78
Cersei-Lannister,Rhaegar-Targaryen,undirected,5,4,76
Cersei-Lannister,Robert-Baratheon,undirected,29,4,52
Cersei-Lannister,Sansa-Stark,undirected,6,4,75
Cersei-Lannister,Senelle,undirected,9,4,72
Cersei-Lannister,Stannis-Baratheon,undirected,9,4,72
Cersei-Lannister,Taena-of-Myr,undirected,46,4,35
Cersei-Lannister,Tallad,undirected,4,4,77
Cersei-Lannister,Tommen-Baratheon,undirected,80,4,1
Cersei-Lannister,Tyrion-Lannister,undirected,36,4,45
Cersei-Lannister,Tywin-Lannister,undirected,14,4,67
Cersei-Lannister,Unella,undirected,3,4,78
Cersei-Lannister,Varys,undirected,7,4,74
Cersei-Lannister,Walder-Frey,undirected,5,4,76
Clement-Piper,Jaime-Lannister,undirected,3,4,78
Cleos-Frey,Jaime-Lannister,undirected,4,4,77
Clydas,Samwell-Tarly,undirected,3,4,78
Colemon,Gretchel,undirected,5,4,76
Colemon,Maddy,undirected,5,4,76
Colemon,Petyr-Baelish,undirected,6,4,75
Colemon,Robert-Arryn,undirected,7,4,74
Craster,Gilly,undirected,8,4,73
Craster,Jeor-Mormont,undirected,3,4,78
Craster,Jon-Snow,undirected,3,4,78
Craster,Samwell-Tarly,undirected,6,4,75
Creighton-Longbough,Illifer,undirected,15,4,66
Creighton-Longbough,Shadrich,undirected,4,4,77
Daemon-Sand,Doran-Martell,undirected,3,4,78
Daemon-Sand,Oberyn-Martell,undirected,3,4,78
Dalla,Gilly,undirected,6,4,75
Dareon,Gilly,undirected,7,4,74
Dareon,Lanna-(Happy-Port),undirected,4,4,77
Dareon,Samwell-Tarly,undirected,26,4,55
Daven-Lannister,Emmon-Frey,undirected,3,4,78
Daven-Lannister,Jaime-Lannister,undirected,12,4,69
Denyo-Terys,Ternesio-Terys,undirected,3,4,78
Dick-Crabb,Eustace-Brune,undirected,3,4,78
Dick-Crabb,Jaime-Lannister,undirected,3,4,78
Dick-Crabb,Podrick-Payne,undirected,9,4,72
Dick-Crabb,Renly-Baratheon,undirected,3,4,78
Dontos-Hollard,Joffrey-Baratheon,undirected,4,4,77
Dontos-Hollard,Sansa-Stark,undirected,9,4,72
Dontos-Hollard,Tyrion-Lannister,undirected,3,4,78
Doran-Martell,Gregor-Clegane,undirected,4,4,77
Doran-Martell,Myrcella-Baratheon,undirected,6,4,75
Doran-Martell,Nymeria-Sand,undirected,4,4,77
Doran-Martell,Obara-Sand,undirected,8,4,73
Doran-Martell,Oberyn-Martell,undirected,5,4,76
Doran-Martell,Tyene-Sand,undirected,6,4,75
Doran-Martell,Tywin-Lannister,undirected,4,4,77
Dorcas,Jocelyn-Swyft,undirected,8,4,73
Dorcas,Margaery-Tyrell,undirected,3,4,78
Dorcas,Osney-Kettleblack,undirected,3,4,78
Dorcas,Qyburn,undirected,3,4,78
Dorcas,Taena-of-Myr,undirected,6,4,75
Dunsen,Gregor-Clegane,undirected,3,4,78
Dunsen,Ilyn-Payne,undirected,4,4,77
Dunsen,Meryn-Trant,undirected,4,4,77
Dunsen,Rafford,undirected,4,4,77
Dunstan-Drumm,Rodrik-Harlaw,undirected,3,4,78
Dunstan-Drumm,Victarion-Greyjoy,undirected,3,4,78
Eddard-Stark,Joffrey-Baratheon,undirected,3,4,78
Eddard-Stark,Jon-Arryn,undirected,4,4,77
Eddard-Stark,Jon-Snow,undirected,4,4,77
Eddard-Stark,Pycelle,undirected,3,4,78
Eddard-Stark,Robert-Baratheon,undirected,3,4,78
Eddard-Stark,Stannis-Baratheon,undirected,3,4,78
Eddard-Stark,Tyrion-Lannister,undirected,4,4,77
Eddison-Tollett,Jon-Snow,undirected,5,4,76
Eddison-Tollett,Samwell-Tarly,undirected,4,4,77
Edmure-Tully,Emmon-Frey,undirected,11,4,70
Edmure-Tully,Forley-Prester,undirected,3,4,78
Edmure-Tully,Ilyn-Payne,undirected,4,4,77
Edmure-Tully,Jaime-Lannister,undirected,24,4,57
Edmure-Tully,Roslin-Frey,undirected,4,4,77
Edmure-Tully,Ryman-Frey,undirected,5,4,76
Edmure-Tully,Tommen-Baratheon,undirected,4,4,77
Edmure-Tully,Walder-Frey,undirected,4,4,77
Edwyn-Frey,Jaime-Lannister,undirected,9,4,72
Edwyn-Frey,Ryman-Frey,undirected,5,4,76
Edwyn-Frey,Walder-Rivers,undirected,8,4,73
Elder-Brother,Meribald,undirected,3,4,78
Elder-Brother,Narbert,undirected,4,4,77
Elia-Martell,Tywin-Lannister,undirected,3,4,78
Elinor-Tyrell,Margaery-Tyrell,undirected,5,4,76
Elinor-Tyrell,Megga-Tyrell,undirected,10,4,71
Elinor-Tyrell,Tallad,undirected,3,4,78
Emmon-Frey,Forley-Prester,undirected,3,4,78
Emmon-Frey,Genna-Lannister,undirected,5,4,76
Emmon-Frey,Jaime-Lannister,undirected,8,4,73
Emmon-Frey,Ryman-Frey,undirected,4,4,77
Emmon-Frey,Tywin-Lannister,undirected,3,4,78
Euron-Greyjoy,Hotho-Harlaw,undirected,4,4,77
Euron-Greyjoy,Humfrey-Hewett,undirected,3,4,78
Euron-Greyjoy,Nute,undirected,4,4,77
Euron-Greyjoy,Quellon-Greyjoy,undirected,3,4,78
Euron-Greyjoy,Red-Oarsman,undirected,6,4,75
Euron-Greyjoy,Rodrik-Harlaw,undirected,4,4,77
Euron-Greyjoy,Sawane-Botley,undirected,3,4,78
Euron-Greyjoy,Victarion-Greyjoy,undirected,43,4,38
Falyse-Stokeworth,Qyburn,undirected,7,4,74
Garin-(orphan),Gerold-Dayne,undirected,5,4,76
Garin-(orphan),Myrcella-Baratheon,undirected,5,4,76
Garin-(orphan),Nymeria-Sand,undirected,3,4,78
Garin-(orphan),Sylva-Santagar,undirected,8,4,73
Garin-(orphan),Tyene-Sand,undirected,5,4,76
Garrett-Paege,Jaime-Lannister,undirected,3,4,78
Gendry,Willow-Heddle,undirected,3,4,78
Genna-Lannister,Jaime-Lannister,undirected,7,4,74
Genna-Lannister,Tywin-Lannister,undirected,3,4,78
Gerold-Dayne,Myrcella-Baratheon,undirected,6,4,75
Gerold-Grafton,Terrance-Lynderly,undirected,3,4,78
Gilly,Jon-Snow,undirected,15,4,66
Gilly,Kojja-Mo,undirected,7,4,74
Gilly,Melisandre,undirected,3,4,78
Gilly,Samwell-Tarly,undirected,41,4,40
Gilwood-Hunter,Horton-Redfort,undirected,6,4,75
Gilwood-Hunter,Lysa-Arryn,undirected,3,4,78
Gilwood-Hunter,Symond-Templeton,undirected,4,4,77
Gormon-Tyrell,Walgrave,undirected,3,4,78
Gorold-Goodbrother,Victarion-Greyjoy,undirected,3,4,78
Gregor-Clegane,Ilyn-Payne,undirected,4,4,77
Gregor-Clegane,Jaime-Lannister,undirected,5,4,76
Gregor-Clegane,Meryn-Trant,undirected,3,4,78
Gregor-Clegane,Pycelle,undirected,3,4,78
Gregor-Clegane,Qyburn,undirected,6,4,75
Gregor-Clegane,Rafford,undirected,4,4,77
Gregor-Clegane,Sandor-Clegane,undirected,5,4,76
Gregor-Clegane,Tywin-Lannister,undirected,5,4,76
Grenn,Jon-Snow,undirected,3,4,78
Grenn,Pypar,undirected,5,4,76
Gretchel,Maddy,undirected,9,4,72
Gretchel,Robert-Arryn,undirected,4,4,77
Gretchel,Sansa-Stark,undirected,3,4,78
Gyles-Grafton,Robert-Arryn,undirected,3,4,78
Gyles-Grafton,Terrance-Lynderly,undirected,5,4,76
Gyles-Rosby,Harys-Swyft,undirected,6,4,75
Gyles-Rosby,Mace-Tyrell,undirected,3,4,78
Gyles-Rosby,Margaery-Tyrell,undirected,5,4,76
Gyles-Rosby,Orton-Merryweather,undirected,4,4,77
Gyles-Rosby,Pycelle,undirected,12,4,69
Gyles-Rosby,Qyburn,undirected,4,4,77
Harras-Harlaw,Victarion-Greyjoy,undirected,3,4,78
Harrold-Hardyng,Robert-Arryn,undirected,4,4,77
Harrold-Hardyng,Yohn-Royce,undirected,3,4,78
Harys-Swyft,Orton-Merryweather,undirected,3,4,78
Harys-Swyft,Pycelle,undirected,8,4,73
Harys-Swyft,Stannis-Baratheon,undirected,3,4,78
Harys-Swyft,Taena-of-Myr,undirected,3,4,78
Harys-Swyft,Tommen-Baratheon,undirected,3,4,78
High-Septon-(Tyrions),Tyrion-Lannister,undirected,5,4,76
High-Sparrow,Maegor-I-Targaryen,undirected,4,4,77
High-Sparrow,Margaery-Tyrell,undirected,11,4,70
High-Sparrow,Osney-Kettleblack,undirected,4,4,77
High-Sparrow,Taena-of-Myr,undirected,4,4,77
High-Sparrow,Tommen-Baratheon,undirected,7,4,74
Horton-Redfort,Yohn-Royce,undirected,3,4,78
Hotho-Harlaw,Rodrik-Harlaw,undirected,4,4,77
Hotho-Harlaw,Sigfryd-Harlaw,undirected,4,4,77
Hotho-Harlaw,Victarion-Greyjoy,undirected,4,4,77
Hugo-Vance,Jaime-Lannister,undirected,3,4,78
Humfrey-Hewett,Victarion-Greyjoy,undirected,4,4,77
Hyle-Hunt,Meribald,undirected,9,4,72
Hyle-Hunt,Podrick-Payne,undirected,19,4,62
Hyle-Hunt,Randyll-Tarly,undirected,5,4,76
Hyle-Hunt,Sandor-Clegane,undirected,3,4,78
Hyle-Hunt,Sansa-Stark,undirected,3,4,78
Ilyn-Payne,Jaime-Lannister,undirected,30,4,51
Ilyn-Payne,Lyle-Crakehall,undirected,6,4,75
Ilyn-Payne,Meryn-Trant,undirected,5,4,76
Ilyn-Payne,Rafford,undirected,4,4,77
Jaehaerys-I-Targaryen,Maegor-I-Targaryen,undirected,3,4,78
Jaime-Lannister,Josmyn-Peckledon,undirected,14,4,67
Jaime-Lannister,Joy-Hill,undirected,3,4,78
Jaime-Lannister,Karyl-Vance,undirected,4,4,77
Jaime-Lannister,Kevan-Lannister,undirected,6,4,75
Jaime-Lannister,Lancel-Lannister,undirected,22,4,59
Jaime-Lannister,Lewys-Piper,undirected,3,4,78
Jaime-Lannister,Loras-Tyrell,undirected,10,4,71
Jaime-Lannister,Lyle-Crakehall,undirected,9,4,72
Jaime-Lannister,Mace-Tyrell,undirected,5,4,76
Jaime-Lannister,Margaery-Tyrell,undirected,10,4,71
Jaime-Lannister,Mariya-Darry,undirected,6,4,75
Jaime-Lannister,Melara-Hetherspoon,undirected,3,4,78
Jaime-Lannister,Olenna-Redwyne,undirected,3,4,78
Jaime-Lannister,Osmund-Kettleblack,undirected,17,4,64
Jaime-Lannister,Pia,undirected,10,4,71
Jaime-Lannister,Pycelle,undirected,10,4,71
Jaime-Lannister,Qyburn,undirected,4,4,77
Jaime-Lannister,Rafford,undirected,3,4,78
Jaime-Lannister,Renly-Baratheon,undirected,6,4,75
Jaime-Lannister,Rennifer-Longwaters,undirected,3,4,78
Jaime-Lannister,Rhaegar-Targaryen,undirected,7,4,74
Jaime-Lannister,Robb-Stark,undirected,4,4,77
Jaime-Lannister,Robert-Baratheon,undirected,12,4,69
Jaime-Lannister,Ronnet-Connington,undirected,4,4,77
Jaime-Lannister,Ryman-Frey,undirected,13,4,68
Jaime-Lannister,Sandor-Clegane,undirected,9,4,72
Jaime-Lannister,Sansa-Stark,undirected,6,4,75
Jaime-Lannister,Shadrich,undirected,3,4,78
Jaime-Lannister,Shitmouth,undirected,3,4,78
Jaime-Lannister,Sybell-Spicer,undirected,4,4,77
Jaime-Lannister,Taena-of-Myr,undirected,4,4,77
Jaime-Lannister,Thoros-of-Myr,undirected,3,4,78
Jaime-Lannister,Tommen-Baratheon,undirected,26,4,55
Jaime-Lannister,Tyrion-Lannister,undirected,15,4,66
Jaime-Lannister,Tywin-Lannister,undirected,14,4,67
Jaime-Lannister,Vargo-Hoat,undirected,6,4,75
Jaime-Lannister,Varys,undirected,11,4,70
Jaime-Lannister,Walder-Frey,undirected,5,4,76
Jaime-Lannister,Walder-Rivers,undirected,4,4,77
Jaime-Lannister,Wylis-Manderly,undirected,3,4,78
Jaime-Lannister,Zollo,undirected,3,4,78
Jalabhar-Xho,Lambert-Turnberry,undirected,3,4,78
Jalabhar-Xho,Tallad,undirected,3,4,78
Jeor-Mormont,Samwell-Tarly,undirected,3,4,78
Jeyne-Farman,Melara-Hetherspoon,undirected,4,4,77
Jeyne-Westerling,Robb-Stark,undirected,3,4,78
Jocelyn-Swyft,Osmund-Kettleblack,undirected,3,4,78
Jocelyn-Swyft,Qyburn,undirected,3,4,78
Jocelyn-Swyft,Taena-of-Myr,undirected,4,4,77
Joffrey-Baratheon,Mace-Tyrell,undirected,3,4,78
Joffrey-Baratheon,Margaery-Tyrell,undirected,6,4,75
Joffrey-Baratheon,Myrcella-Baratheon,undirected,6,4,75
Joffrey-Baratheon,Qyburn,undirected,3,4,78
Joffrey-Baratheon,Robert-Baratheon,undirected,5,4,76
